id,name,type,address,phone,website,city,postcode,match_confidence,notes
CCD009,Portman Manchester City Centre Dental & Implant Clinic,Dentist,"31 Booth St, Manchester",0161 834 1643,https://www.citycentredentist.co.uk,Manchester,M2 4AF,high,"Verified on clinic site"
CCD010,Mayo Clinic Healthcare,Medical,"15 Portland Pl, London",+44 20 7871 2575,https://www.mayoclinichealthcare.co.uk,London,W1B 1PT,high,"Verified on clinic site"
CCD011,Clarendon Dental Spa,Dentist,"9 Woodhouse Square, Leeds",0113 245 9004,https://www.clarendondentalspa.co.uk,Leeds,LS3 1AD,high,"Verified on clinic site"
CCD012,Cleveland Clinic London,Hospital,"(address on site)",+44 20 3423 8000,https://clevelandcliniclondon.uk,London,W1,high,"Verified on clinic site"
CCD013,The Saxon Clinic,Hospital,"V7 Saxon Street, Eaglestone, Milton Keynes",01908 665533,https://www.circlehealthgroup.co.uk/hospitals/the-saxon-clinic,Milton Keynes,MK6 5LR,high,"Verified on clinic site"
CCD014,Hawkins Dental & Implant Clinic,Dentist,"1335 Bristol Rd S, Birmingham",(contact via site likely phone),https://www.hawkinsdentalcare.co.uk,Birmingham,B31 2SS,high,"Verified on clinic site"
CCD015,The Yardley Clinic,Clinic,"Birmingham (exact address incomplete)",0121 752 3300,https://theyardleyclinic.co.uk,Birmingham,(postcode unavailable),high,"Verified on clinic site contact phone only"
CCD016,St John's Dental Practice,Dentist,"18 Bennetts Hill, Birmingham",0121 643 0610,https://www.stjohnsdentalpractice.com,Birmingham,B2 5QJ,high,"Verified on clinic site"
CCD017,Horsforth Smile Clinic,Dentist,"2 Town Street, Horsforth, Leeds",0113 258 8780,https://www.horsforthsmileclinic.co.uk,Leeds,LS18 4RJ,high,"Verified on clinic site"
CCD018,London Lauriston Clinic,Medical,"34 Great Titchfield Street, London",020 4511 0444,https://www.llclinics.co.uk,London,W1W 8BQ,high,"Verified on clinic site"
LCD009,The Leeds Clinic,Medical GP,"2 Upland Road, Leeds",0113 240 1234,https://www.leeds-clinic.co.uk,Leeds,LS8 2SQ,high,"Verified via clinic site"
LCD010,The Avenue Clinic,Medical,"24 The Avenue, Alwoodley, Leeds",0113 834 0888,https://www.theavenueclinic.co.uk,Leeds,LS17 7BE,high,"Verified via clinic site"
LCD011,The Whitehall Clinic,Medical,"5 Wellington Place, Leeds",0113 833 4900,https://www.whitehallclinic.com,Leeds,LS1 4AP,high,"Verified via Wellington Place listing"
LCD012,Evolve Medical,Medical Aesthetic,"1 Priesthorpe Avenue, Pudsey, Leeds",0113 257 6701,https://www.evolvemedical.co.uk,Leeds,LS28 7TG,high,"Verified via clinic site"
LCD013,The Private Clinic Ltd – Leeds,Cosmetic,"45 Park Square North, Leeds",0113 246 7216,https://www.theprivateclinic.co.uk,Leeds,LS1 2NP,high,"Verified via clinic's own site"
LCD014,Spire Leeds Hospital,Hospital,"[Address on site]",0113 269 3939,https://www.spirehealthcare.com/spire-leeds-hospital/,Leeds,,high,"Verified via clinic site"
LCD015,Private GP Services – Leeds,Medical GP,"Gateway West, East Street, Leeds",0330 053 3745,https://www.privategpservices.co.uk/locations/leeds,Leeds,LS9 8DA,high,"Verified via clinic site"
SHF019,Thornbury Hospital,Hospital,"312 Fulwood Road, Sheffield",0114 266 1133,https://www.circlehealthgroup.co.uk/hospitals/thornbury-hospital,Sheffield,S10 3BR,high,"Verified via clinic site"
SHF020,The Sheffield Clinic,Private GP,"Rutledge Mews, 1 Southbourne Road, Sheffield",0345 508 1448,https://www.thesheffieldclinic.co.uk,Sheffield,S10 2QN,high,"Verified via clinic site"
SHF021,Regent Street Clinic (Sheffield),Aesthetic Clinic,"90 Rockingham Street, Sheffield",(via site form),https://www.regentstreetclinic.co.uk/clinic/sheffield,Sheffield,S1 4EB,high,"Verified via clinic site"
SHF022,Claremont Hospital (Spire),Hospital,"401 Sandygate Road, Sheffield",0114 263 0330,https://www.spirehealthcare.com/spire-claremont-hospital/,Sheffield,S10 5UB,high,"Verified via clinic site"
BIR023,Edgbaston Private Medical Practice,Private GP,"44 George Road, Edgbaston, Birmingham",0121 454 9535,https://www.epmpractice.co.uk/contact,Birmingham,B15 1PL,high,"Verified via clinic site"
BIR024,Midland Health (Highfield Clinic),Private GP,"23a Highfield Road, Edgbaston, Birmingham",0121 769 0999,https://midlandhealth.co.uk/gp-consultation/,Birmingham,B15 3DP,high,"Verified via clinic site"
BIR025,Birmingham Central Medical Centre (HCA),Private GP,"1 Cornwall Street, Birmingham",0333 005 0565,https://www.hcahealthcare.co.uk/locations/hca-gp-services/birmingham-central-medical-centre,Birmingham,B3 2DX,high,"Verified via clinic site"
OXF026,Private Medical Clinic – Edgbaston (London & Birmingham),Private GP,"20 Calthorpe Road, Edgbaston, Birmingham",0208 050 0379,https://www.privatemedicalclinic.com/contact-us,Birmingham,B15 1RP,high,"Verified via clinic site"
MCR009,Pall Mall Medical,Private Healthcare,"61 King St, Manchester",0161 832 2111,https://www.pallmallmedical.co.uk,Manchester,M2 4PD,high,"Verified via clinic site"
MCR010,SameDayDoctor Private GP Clinic,Private GP,"30 Queen Street, Fabric Building, Manchester",0161 827 7868,https://samedaydoctor.org/clinic/manchester/,Manchester,M2 5HX,high,"Verified via clinic site"
MCR011,Spire GP at Manchester Hospital,Private GP,"170 Barlow Moor Road, Didsbury, Manchester",0161 636 0518,https://www.spirehealthcare.com/spire-manchester-hospital/treatments/private-gp-services/,Manchester,M20 2AF,high,"Verified via clinic site"
MCR012,The Manchester Clinic,Consulting Rooms,"Manchester (Victorian building)",,https://themanchesterclinic.co.uk,Manchester,,high,"Verified via clinic site"
MCR013,Manchester Private Hospital (Cosmetic Surgery),Cosmetic Clinic,"New Court, 2 Windsor St, Salford",,https://www.theliverpoolclinic.co.uk,Manchester,M5 4HB,high,"Address via external listing"
MCR014,Manchester Central Medical Centre (HCA),Private GP,"2-4 Exchange Street, Manchester",0161 641 8370,https://www.hcahealthcare.co.uk/locations/hca-gp-services/manchester-central-medical-centre,Manchester,M2 7HA,high,"Verified via clinic site"
MCR015,OrthTeam Centre – Manchester,Musculoskeletal Clinic,"Didsbury Technology Park, Unit 1, 168 Barlow Moor Road",0161 447 6888,https://manchesterhipclinic.com/clinic-locations/,Manchester,M20,high,"Verified via clinic site"
MCR016,Manchester Hip Clinic,Orthopaedic Clinic,"Didsbury Technology Park, Ohm Building, Unit 1",0161 447 6762,https://manchesterhipclinic.com/clinic-locations/,Manchester,M20,high,"Clinic site contact info"
MCR017,The Alexandra Hospital,Private Hospital,"Mill Lane, Cheadle, Cheshire (Greater Manchester)",0161 428 3656,https://www.circlehealthgroup.co.uk/hospitals/the-alexandra-hospital,Manchester,SK8 2PX,high,"Verified via clinic site"